Global Rank     ,Company     ,Country,"Sales
            ($billion)     ","Profits
            ($billion)","Assets
            ($billion)","Market Value
            ($billion)"
1,ICBC,China,134.8,37.8,2813.5,237.3
2,China Construction Bank,China,113.1,30.6,2241,202
8,Agricultural Bank of China,China,103,23,2124.2,150.8
9,PetroChina,China,308.9,18.3,347.8,261.2
11,Bank of China,China,98.1,22.1,2033.8,131.7
26,Sinopec-China Petroleum,China,411.7,10.1,200,106.9
54,Bank of Communications,China,43.5,9.4,846.4,56.7
83,Ping An Insurance Group,China,51.1,3.2,456.2,57
101,China Merchants Bank,China,28.4,7.3,547,44.1
106,China Life Insurance,China,63.2,1.8,304.6,79.9
107,China Minsheng Banking,China,27.9,6.1,515.5,43.9
115,China Shenhua Energy,China,39.7,7.7,70.2,70.8
125,Shanghai Pudong Development,China,25.4,5.4,504.5,31.6
128,China Citic Bank,China,24.4,4.9,474.7,32.5
139,China Telecom,China,44.9,2.4,87.4,42
142,Industrial Bank,China,18.7,4.1,382.3,38.2
167,SAIC Motor,China,75,3.3,48.1,26.7
206,China State Construction,China,76.7,2.2,79.9,16.9
226,People's Insurance Company,China,41.3,1.1,110.5,24.4
240,China Everbright Bank,China,13.5,2.9,275.1,21
278,China Pacific Insurance,China,27.3,0.8,109.3,28.6
280,China Communications Construction,China,45.7,1.9,69.6,12.9
283,Ping An Bank,China,13.2,2.2,257.3,18.3
314,China Vanke,China,15.5,2,60.3,18.9
316,China Railway Construction,China,74.5,1.3,77.1,10.4
322,China Railway Group,China,76.7,1.2,88.4,10.2
370,Baoshan Iron & Steel,China,35.4,1.2,36.7,13.4
404,Huaneng Power International,China,21.1,0.9,41.2,14.9
407,Huaxia Bank,China,10.5,1.5,197.2,11.5
473,China Coal Energy,China,13.6,1.5,29.5,12.2
488,Bank of Beijing,China,6.3,1.4,151.7,13.1
503,Dongfeng Motor Group,China,19.7,1.4,19.2,11.8
507,Poly Real Estate,China,9.6,1.3,40.3,12.2
508,New China Life Insurance,China,18,0.5,79.2,11.8
591,Tencent Holdings,China,7,2,12.1,65
628,China National Building,China,13.8,0.9,31.2,7.5
635,Daqin Railway,China,7.2,1.9,14.9,18.7
639,Datang International Power,China,12.2,0.6,42.4,8.4
648,Evergrande Real Estate,China,10.3,1.5,31.1,6.9
650,Jiangxi Copper,China,25,0.8,12.5,10.8
653,China Shipbuilding Industry,China,9.2,0.7,25.3,12.1
668,Gree Electric Appliances,China,13.3,0.8,13.5,13.5
674,Yanzhou Coal Mining,China,9.2,1,18,11.8
692,Lenovo Group,China,29.6,0.5,15.5,10.4
710,CSR,China,14.1,0.6,16.8,9.9
728,Anhui Conch Cement,China,7.2,1,14,15.9
740,China Yangtze Power,China,3.3,1.2,25.2,19.4
774,Sinohydro Group,China,18,0.6,25.8,5.5
779,Zoomlion Heavy Industry,China,7.6,1.2,13.8,10.5
783,Country Garden Holdings,China,6.6,1.1,21.9,8.2
798,Citic Securities,China,2.2,0.7,27,23.1
799,GD Power Development,China,8,0.6,29.2,8
830,Metallurgical Corp of China,China,34.1,-1.1,56.2,5.9
848,Shanghai Electric Group,China,12.1,0.4,18.3,8
851,Sany Heavy Industry,China,8.1,1.4,8.1,13
853,Aluminium Corp of China,China,23.7,-1.3,28.7,8.4
859,China Southern Airlines,China,15.7,0.4,18.3,8
863,China CNR,China,14.2,0.5,15.4,7.2
868,China Eastern Airlines,China,13.5,0.5,19.4,5.7
880,Zijin Mining Group,China,7.6,0.8,10.8,10.8
896,Suning Appliance,China,14.9,0.8,9.4,7.4
934,Kweichow Moutal,China,3.8,2.1,6.2,29.6
952,Sinopharm Group,China,21.5,0.3,12.8,8
957,Great Wall Motor,China,6.6,0.9,6.8,14.3
960,Baidu,China,3.5,1.7,7.3,29.7
965,Longfor Properties,China,4.4,1,16.8,8.6
969,Haitong Securities,China,1.6,0.5,20.3,16.7
991,Chonqing Rural Bank,China,3.6,0.8,69.6,5
1008,Tingyi Holding,China,9.2,0.5,7.5,15
1012,Sun Art Retail Group,China,12.3,0.4,7.2,13.9
1019,Fosun International,China,8.2,0.6,26,4.1
1028,Shanghai International Port,China,4.5,0.8,13.3,9.8
1045,China Cosco Holdings,China,14,-1.5,26.5,6.4
1073,Shimao Property Holdings,China,4.5,0.9,19.2,5.9
1111,China Oilfield Services,China,3.5,0.7,12,11.1
1145,Wuliangye Yibin,China,3,1,5.9,14.7
1151,Weichai Power,China,7.6,0.5,10.6,7
1163,Henan Shuanghui Investment,China,6.3,0.5,2.7,12.6
1165,ZTE,China,13.3,-0.4,16.4,6.5
1177,Hebei Iron & Steel,China,21.2,0.2,22.8,4.1
1181,Inner Mongolia Yitai,China,5,1,6.4,8.7
1187,Bank of Ningbo,China,2.4,0.5,41.3,4.9
1191,Greentown China Holdings,China,5.6,0.8,17.3,3.2
1197,Guangzhou R&F,China,4.8,0.9,15.8,4.8
1218,Qingdao Haier,China,12.6,0.5,8,5.4
1227,Want Want China,China,3.4,0.6,3.5,19.8
1246,Bank of Nanjing,China,2.2,0.5,44.7,4.4
1262,Sino-Ocean Land Holdings,China,4.6,0.7,20.2,3.5
1288,Huadian Power International,China,9.4,0.2,26.4,4.8
1312,China Merchants Property,China,3.3,0.5,17.5,6.1
1322,Jiangsu Yanghe Brewery,China,2,0.6,2.9,12.4
1333,China Longyuan Power,China,2.7,0.4,17.3,7.2
1337,GF Securities,China,1,0.3,12.2,13.9
1342,Wuhan Iron & Steel,China,16.1,0.2,15.5,4.5
1347,Agile Property Holdings,China,4.8,0.8,14.7,4
1371,Soho China,China,2.5,1.7,12.6,4
1385,Inner Mongolia Rare-Earth,China,1.8,0.6,2.2,11.8
1388,Shenzhen Overseas,China,3,0.6,11.7,6.7
1418,Shanghai Construction,China,14.5,0.3,13.3,2.7
1431,BYD,China,7.4,0,11,8.3
1436,Angang Steel,China,12.3,-0.7,16.2,4.1
1443,Shanxi Taigang Stainless,China,15.3,0.3,10.5,3.1
1446,Yang Quan Coal Industry,China,8,0.4,4.4,5.4
1447,Hengan International Group,China,2.4,0.5,3.8,11.9
1455,Shanghai Pharmaceuticals,China,10.8,0.3,8.1,5.6
1485,China National Chemical,China,6.9,0.4,7.2,6.7
1506,New Hope Liuhe,China,11.4,0.4,3.5,3.6
1513,BBMG,China,5.1,0.5,13.3,4.4
1519,Huatai Securities,China,1.3,0.3,13.6,9.5
1528,Xiamen C&D,China,12.8,0.4,8.2,2.3
1529,China International Marine,China,8.6,0.3,10.3,4.9
1534,China Merchants Securities,China,1.1,0.3,10.9,9.7
1544,Hunan Valin Steel,China,11.7,0,13.6,1
1553,China Communications Services,China,9.8,0.4,7.2,4.7
1568,Dongfang Electric,China,6,0.3,12.6,4.7
1592,Inner Mongolia Yili,China,6,0.3,3.2,8.9
1610,Maanshan Iron & Steel,China,11.8,-0.6,12.2,2.3
1613,TCL Corp,China,11,0.1,12.8,3.4
1613,Shandong Gold-Mining,China,6.3,0.3,2,7.6
1631,Netease,China,1.3,0.6,3.1,6.8
1631,Jizhong Energy Resources,China,6,0.5,6,4.9
1648,Minmetals Development,China,25.7,0.1,7.6,2.6
1680,Gemdale,China,3.8,0.5,14.3,4.3
1734,China Gezhouba,China,8.3,0.2,12.3,2.9
1745,Great Wall Technology,China,15.2,0,8.5,0.2
1773,Luzhou Laojiao,China,1.3,0.5,1.9,6.6
1833,Hainan Airlines,China,4.4,0.3,14.9,4.5
1833,China Hongqiao Group,China,3.9,0.9,7.1,3
1847,Zhongjin Gold,China,5.3,0.3,3,6.9
1864,Shanxi Lu'an Environmental,China,3.1,0.4,6.4,6.7
1866,Qinghai Salt Lake,China,15.2,0.4,4.7,6.8
1906,Inner Mongolia Baotou Steel,China,6.8,0.1,7.9,6.4
1916,Shanghai Material Trading,China,12.8,0,1.5,0.3
1944,Tongling Nonferrous Metals,China,12.2,0.1,5.9,3.9
1948,Hikvision,China,0.8,0.2,1.3,12.3
40,Commonwealth Bank,Australia,47.8,7.3,735.2,117.5
44,BHP Billiton,Australia,72.2,15.4,129.3,184.7
48,Westpac Banking Group,Australia,43.9,6.2,699.6,98.9
58,National Australian Bank,Australia,49.2,4.2,791.3,76.3
66,ANZ,Australia,37.5,5.9,666.9,81.2
168,Wesfarmers,Australia,59,2.2,42.9,51.9
200,Telstra,Australia,25.8,3.5,40.5,58.4
271,Woolworths,Australia,56.4,1.9,21.5,46.3
373,AMP,Australia,17.2,0.7,122.1,16
393,Suncorp Group,Australia,15.6,0.7,98.3,15.9
411,QBE Insurance Group,Australia,17,0.8,50.8,17
445,Macquarie Group,Australia,11.4,0.8,157.8,13.5
483,Woodside Petroleum,Australia,6.4,3,23.9,31.9
494,Origin Energy,Australia,13.2,1,28.7,14.9
630,Westfield Group,Australia,2.5,1.8,35.3,25.4
703,Fortescue Metals Group,Australia,7,1.6,14.9,13.2
744,Newcrest Mining,Australia,4.5,1.1,20.8,17.5
875,Amcor,Australia,12.5,0.4,11.5,11.9
952,Insurance Australia Group,Australia,9.2,0.2,25.4,12.4
956,CSL,Australia,4.5,1,5.8,32
1014,Santos,Australia,3.4,0.5,17.7,13.1
1016,Land Lease Group,Australia,11.9,0.5,12.6,5.8
1067,Westfield Retail Trust,Australia,0.5,0.9,13.8,9.8
1116,Brambles,Australia,5.6,0.6,7.7,14.1
1219,Stockland Australia,Australia,2.1,0.5,14.9,8.8
1242,AGL Energy,Australia,7.6,0.1,14.5,9.5
1249,Coca-Cola Amatil,Australia,5.3,0.5,7,12.1
1254,Qantas Airways,Australia,16.1,-0.3,21.7,4.1
1256,Orica,Australia,6.9,0.4,7.7,9.6
1399,Caltex Australia,Australia,24.2,0.1,5,6.2
1413,Aurizon Holdings,Australia,3.6,0.5,10.3,9
1460,GPT Group,Australia,0.7,0.6,9.7,6
1468,WorleyParsons,Australia,7.6,0.4,4.4,6.6
1487,Crown Ltd,Australia,2.8,0.5,5.9,9.4
1592,Goodman Group,Australia,0.7,0.4,8.4,8.9
1639,Bendigo & Adelaide Bank,Australia,3.8,0.2,58.5,4.4
1751,Bank of Queensland,Australia,2.8,0,43,3.1
1819,Incitec Pivot,Australia,3.6,0.5,7.3,5.7
1833,CFS Retail Property,Australia,0.8,0.4,8.6,6
1863,Mirvac Group,Australia,1.6,0.4,8.3,6.1
1866,Transurban Group,Australia,1.2,0.1,10.1,9.5
1918,Metcash,Australia,12.8,0.1,4.1,3.9
304,OMV Group,Austria,56.3,1.8,39.8,14.7
455,Raiffeiseon Bank International,Austria,13.9,1,190.5,7.6
672,Erste Group Bank,Austria,15.5,-0.9,271.7,12.3
723,Vienna Insurance Group,Austria,12.4,0.5,50,6.6
920,Voestalpine,Austria,16.1,0.4,16.3,5.8
1229,Verbund,Austria,4.1,0.5,16.3,7.4
1369,Strabag,Austria,17.8,0.3,13.3,2.4
1372,Uniqa,Austria,7.6,-0.3,37,3
1558,Andritz,Austria,6.7,0.3,6.8,7
1697,Volksbank,Austria,2.2,-1.2,53.3,1
1798,Immofinanz,Austria,1.6,0.4,16.1,4.3
1578,Ahli United Bank,Bahrain,1.3,0.3,29.9,3.7
76,Anheuser-Busch InBev,Belgium,39.8,7.2,122.6,153.5
323,KBC Group,Belgium,21.7,0.8,338.7,16.3
424,Ageas,Belgium,20.6,1,128,8.5
564,Solvay,Belgium,16.4,0.8,23.4,12.5
883,Dexia,Belgium,26.6,-16.2,534.9,0.1
887,Belgacom,Belgium,8.5,0.9,10.7,8.9
957,Banque Nationale de Belgique,Belgium,2.4,1.2,165.8,1.4
1114,Delhaize Group,Belgium,29.2,0.1,15.8,5.5
1133,Colruyt,Belgium,10.5,0.5,4.2,8.2
1341,Umicore,Belgium,16.6,0.3,4.7,5.9
1375,UCB,Belgium,4,0.3,11.7,11.7
755,Bunge,Bermuda,61,0.1,24.1,11.1
756,Seadrill,Bermuda,4.5,1.1,19.6,17.6
942,Inveco,Bermuda,4.2,0.7,17.5,12.8
944,PartnerRe,Bermuda,5.6,1.1,23.0,5.4
948,Everest Re Group,Bermuda,4.9,0.8,19.8,7.8
1200,Arch Capital Group,Bermuda,3.5,0.6,17.8,6.9
1365,Axis Capital Holdings,Bermuda,3.9,0.5,18.9,5
1722,Nabors Industries,Bermuda,6.8,0.2,12.7,5
1947,Catlin Group,Bermuda,3.8,0.3,14,2.8
20,Petrobras,Brazil,144.1,11.0,331.6,120.7
42,Ita¨² Unibanco Holding,Brazil,70.5,6.2,453.6,82.0
45,Banco Bradesco,Brazil,78.3,5.6,417.5,72
67,Banco do Brasil,Brazil,69,6,552.2,37.9
87,Vale,Brazil,45.7,4.8,130.4,92.7
173,Ita¨²sa,Brazil,27.8,2.2,172.4,25.4
597,Cemig,Brazil,9.5,2.2,19.4,10.7
614,Grupo Po de A¨²car,Brazil,24.9,0.5,16.8,14.1
656,JBS,Brazil,38.9,0.4,24.3,10.4
671,CSN,Brazil,8.9,2,24.2,7.2
734,BRF-Brasil Foods,Brazil,13.9,0.4,24.3,10.4
819,Oi,Brazil,12.3,0.4,14.7,19.2
836,CPFL Energia,Brazil,7.7,0.6,15.2,10.4
910,Sabesp,Brazil,5.5,1.0,12.8,10.5
935,Eletrobr¨¢s,Brazil,17.5,-3.5,84.1,5
1075,Cielo,Brazil,2.6,1.1,4.7,18.9
1156,Braskem,Brazil,17.3,-0.4,19.6,5
1158,BM&F Bovespa,Brazil,1,0.5,11.7,13.4
1173,Metalurgica Gerdau,Brazil,18.5,0.2,25,3.8
1211,Cosan,Brazil,14.1,0.3,12.2,5.5
1234,CCR,Brazil,3,0.6,7,17.3
1517,Embraer,Brazil,6.2,0.3,9.5,6.3
1520,BR Malls,Brazil,0.6,0.9,8.7,5.8
1542,Natura Cosmeticos,Brazil,3.1,0.4,2.5,10.5
1574,Banrisul,Brazil,3.6,0.4,22.3,3.6
1586,Marfrig Group,Brazil,12.3,-0.1,12,2.5
1627,Usiminas,Brazil,6.2,-0.3,15.3,5.3
1811,Lojas Americanas,Brazil,5.5,0.2,5.3,8.9
1908,Porto Seguro,Brazil,6.1,0.3,8.8,4.4
1914,WEG,Brazil,3,0.3,4.3,8.1
1989,Klabin,Brazil,2,0.4,6.9,6.5
50,Royal Bank of Canada,Canada,38.3,7.7,838.5,87.2
71,TD Bank Group,Canada,30.6,6.7,819.4,76.9
84,Bank of Nova Scotia,Canada,27.6,6.4,737.2,70.6
131,Bank of Montreal,Canada,20.9,4.1,542.9,41.0
142,Suncor Energy,Canada,38.8,2.8,76.8,47.3
156,Manulife Financial,Canada,37.3,2,488.2,27.8
161,Canadian Imperial Bank,Canada,17.1,3,393.2,32
240,BCE,Canada,20,2.8,41.2,35.6
266,Brookfield Asset Management,Canada,18.6,1.4,108.6,23.0
277,Sun Life Financial,Canada,17.6,2,226.8,16.9
288,Canadian Natural Resources,Canada,14.7,1.9,49.2,36
289,Husky Energy,Canada,22.5,2,35.3,29
299,Power Corp of Canada,Canada,34.2,1.1,272.8,12.4
328,Enbridge,Canada,25.4,0.7,47.4,36.9
358,Thomson Reuters,Canada,13.3,2.1,32.6,26.7
374,Canadian National Railway,Canada,10,2.7,26.8,42.7
406,TransCanada,Canada,8,1.4,48.5,33.9
427,Cenovus Energy,Canada,16.9,1,24.3,24.4
448,Rogers Communications,Canada,12.5,1.7,19.7,25.3
464,National Bank of Canada,Canada,7.1,1.6,184,12.3
465,Magna International,Canada,30.8,1.4,17.1,13.2
496,Telus,Canada,11,1.3,20.5,22.3
497,Potash of Saskatchewan,Canada,7.9,2.1,18.2,35.3
509,Agrium,Canada,16.7,1.5,16,15.3
513,Teck Resources,Canada,10.4,0.8,34.8,17.4
559,Goldcorp,Canada,5.4,1.7,31.2,26.4
646,George Weston,Canada,32.8,0.5,21.9,9.1
659,Barrick Gold,Canada,14.5,-0.7,47.3,28.7
697,Bombardier,Canada,16.8,0.6,25.8,7.3
754,Couche Tard,Canada,33,0.5,10.5,10.2
775,Fairfax Financial,Canada,8,0.5,36.9,8.2
855,Canadian Pacific Railway,Canada,5.7,0.5,14.8,22.1
865,Intact Financial,Canada,7.2,0.6,19.9,8.4
948,Onex,Canada,27.4,-0.1,36.3,5.3
983,Shaw Communications,Canada,5.1,0.8,12.5,10.8
1027,Canadian Tire,Canada,11.5,0.5,13.2,5.6
1033,Shoppers Drug Mart,Canada,10.8,0.6,7.5,8.5
1043,Talisman Energy,Canada,7.3,0.1,21.9,12.7
1130,Canadian Oil Sands,Canada,3.7,1,10.2,10.2
1135,Industrial Alliance Insurance,Canada,7.5,0.3,42,3.5
1159,First Quantum Minerals,Canada,3,1.8,7.5,10.2
1166,EnCana,Canada,5.2,-2.8,18.7,15
1208,Metro Inc,Canada,12.1,0.5,5.2,6
1226,Research In Motion,Canada,11.1,-0.6,13.2,7.9
1258,Valeant Pharmaceuticals,Canada,3.5,-0.1,18,21.2
1279,Yamana Gold,Canada,2.3,0.4,11.8,11
1296,Saputo,Canada,7,0.4,3.7,9.7
1394,Silver Wheaton,Canada,0.8,0.6,3.2,10.8
1425,Empire,Canada,17.4,0.4,15,16.9
1459,SNC-Lavalin Group,Canada,7.9,0.3,9.7,6.4
1480,Fortis (Canada),Canada,3.8,0.4,15,6.9
1532,Crescent Point Energy,Canada,2,0.2,12.2,14.4
1543,CGI Group,Canada,6.3,0,10.8,8
1551,Kinross Gold,Canada,4.3,-2.5,14.9,9.1
1609,Atco,Canada,4.4,0.4,14.4,5
1616,E-L Financial,Canada,3,0.5,16.7,2.1
1641,Pacific Rubiales Energy,Canada,3.9,0.5,7.1,7.1
1741,Tim Hortons,Canada,3.1,0.4,2.3,7.9
1802,Air Canada,Canada,12.2,0.1,9.1,0.7
1828,Calloway Real Estate,Canada,0.5,0.9,6.5,3.8
1839,Laurentian Bank,Canada,1.5,0.1,34.3,1.2
1840,H&R Real Estate,Canada,0.8,0.5,10.2,4.5
1937,Lulemon Athletica,Canada,1.4,0.3,1.1,10
1952,Finning International,Canada,6.7,0.3,5.1,4.3
1973,Boardwalk Real Estate,Canada,0.4,0.7,5.7,3.2
835,Resolution,Channel Islands,17.6,-0.1,207.5,5.7
1088,Phoenix Group Holdings,Channel Islands,1.9,0.6,140,2.2
1705,Randgold Resources,Channel Islands,1.3,0.4,3.1,7.7
569,Falabella,Chile,11.5,0.8,17.9,26.8
573,Cencosud,Chile,19.1,0.6,19.7,17.4
938,Antarchile,Chile,22.8,0.2,22.3,7.5
1007,Latam Airlines,Chile,9.7,0.0,21,11.1
1049,BCI-Banco Credito,Chile,2.7,0.5,31.0,7.9
1252,SQM,Chile,2.5,0.7,4,14.8
1591,Empresas CMPC,Chile,4.8,0.2,14.0,8.0
1611,Quinenco,Chile,4.1,0.2,46.3,5
1761,CorpBanca,Chile,2,0.2,28.3,4.7
114,Ecopetrol,Colombia,39,8.4,64.4,116.2
608,BanColombia,Colombia,5.9,1,55.4,13.5
652,Grupo Aval,Colombia,6.1,0.7,57.4,13.2
1288,Banco Davivienda,Colombia,2.7,0.4,23.2,6.4
1594,Grupo Argos,Colombia,3.8,0.2,15.2,9.5
1998,Interconexion Electrica,Colombia,2.4,0.2,14.6,5.8
429,CEZ Group,Czech Republic,11.3,2.2,33.4,15.7
133,Mller-Maersk,Denmark,60.5,3.8,73.7,35
285,Danske Bank,Denmark,22.6,0.8,615.6,19.1
439,Novo Nordisk,Denmark,13.8,3.8,11.2,95
525,Carlsberg,Denmark,11.6,1,27.2,15.8
1312,TDC,Denmark,4.6,0.6,11.2,6.4
1569,Coloplast,Denmark,1.9,0.4,1.8,11.4
1633,Novozymes,Denmark,2,0.4,2.6,11
1737,Jyske Bank,Denmark,1.7,0.1,45.6,2.5
1958,Sydbank,Denmark,1.1,0.1,27,1.6
1962,Vestas Wind Systems,Denmark,9.5,-1.3,9,1.6
1222,Orascom Construction,Egypt,5.4,0.7,9.8,7
1966,Commercial International Bank,Egypt,1.5,0.3,14.8,2.8
430,Sampo,Finland,8.4,1.9,41.4,22.2
480,Fortum,Finland,8.1,1.9,32.3,17.6
689,Nokia,Finland,39.8,-4.1,37.8,12.5
834,Stora Enso,Finland,14.3,0.6,17.9,5.7
849,Kone,Finland,8.3,0.8,6.5,20.5
1101,Pohjola Bank,Finland,5.1,0.4,58.8,5.2
1194,UPM-Kymmene,Finland,13.8,-1.7,16.1,6.1
1203,Metso,Finland,9.9,0.5,8.5,6.3
1290,Wrtsil,Finland,6.2,0.4,6.5,9.2
1524,Neste Oil,Finland,23.7,0.2,9.7,3.8
1883,Nokian Tyres,Finland,2.1,0.4,2.7,6.1
1919,Kesko,Finland,12.8,0.2,5.8,3.2
22,BNP Paribas,France,126.2,8.6,2504.2,71.3
23,Total,France,240.5,14.1,224.1,114.4
39,AXA Group,France,147.5,5.3,1005.4,45.3
72,Sanofi,France,46.1,6.6,132.4,131.6
74,EDF,France,95.9,4.4,325.2,35.3
95,GDF Suez,France,128,2,268.9,45
146,Soci¨¦t¨¦ G¨¦n¨¦rale,France,107.8,1,1648.9,29.5
162,Vinci,France,51.7,2.5,80.9,25.4
169,France Telecom,France,57.4,1.5,113.9,29.2
175,Renault,France,54.4,2.3,98.9,20.3
177,L'Or¨¦al Group,France,28.9,3.7,39,94.8
196,Christian Dior,France,38.6,1.8,69.9,32
204,Schneider Electric,France,31.6,2.4,45.4,42.2
216,Carrefour,France,101.3,1.6,59.4,19.8
230,Danone,France,27.5,2.2,38,43.3
253,Natixis,France,19.2,2.2,658,13.2
260,Saint-Gobain,France,57,1,61,21.6
284,Air Luquide,France,20.2,2.1,32.5,39.3
294,CNP Assurances,France,53.2,1.2,466.1,9.9
356,Michelin Group,France,28.3,2.1,26.4,16.2
368,Safran,France,18,1.7,30,19.6
378,Kering,France,12.8,1.4,32.5,29.4
386,Alstom,France,26.6,1,39.4,14
390,Pernod Ricard,France,10.4,1.5,33.5,34.5
413,Lafarge,France,20.9,0.6,50.5,20.3
426,Bouygues,France,44.3,0.8,48.1,9.4
460,Cr¨¦dit Agricole,France,51.2,-8.3,2431.4,23.4
536,Vivendi,France,38.3,0.2,76.6,27.8
572,CIC Group,France,15.5,0.8,302.3,5.8
