Global Rank     ,Company     ,Country,"Sales
1243,Mitsubishi Materials,Japan,17.4,0.1,21.1,3.8
1248,Medipal Holdings,Japan,33.2,0.1,15.5,3.2
1249,Kajima,Japan,17.6,0,20.2,2.9
1271,Fuji Media Holdings,Japan,7.2,0.7,11.4,4
1287,Nitto Denko,Japan,7.3,0.4,7.8,9.6
1296,Showa Shell Sekiyu,Japan,30.3,0,14,2.6
1303,Jupiter Telecommunications,Japan,4.7,0.5,9.4,8.9
1309,Fukuoka Financial Group,Japan,3,0.3,156.6,4.1
1315,Sekisui Chemical,Japan,11.7,0.3,9.8,5.5
1316,Obayashi,Japan,15,0.1,19.2,3.6
1325,Taisei,Japan,16,0,17.7,3.2
1338,Shimizu,Japan,16.1,0,17,2.6
1343,Odakyu Electric Railway,Japan,6.1,0.2,15.9,8.8
1345,Alfresa Holdings,Japan,28.2,0.1,13.1,2.7
1361,Mitsui Chemicals,Japan,17.6,0,15.2,2.3
1380,Olympus,Japan,10.2,-0.6,11.6,6.8
1381,Nippon Paper Industries,Japan,12.6,-0.5,18.5,1.9
1386,JGC,Japan,6.7,0.5,6.3,6.7
1422,Suzuken,Japan,22.5,0.1,11.8,3.1
1425,Oriental Land,Japan,4.4,0.4,7.5,13.3
1472,Yamaha Motor,Japan,13.9,0.1,11.1,4.9
1475,Electric Power Development,Japan,7.9,0.2,23.9,3.8
1480,Hoya,Japan,4.4,0.5,6.7,8.2
1500,Unicharm,Japan,5.2,0.3,5.2,10.6
1547,NSK,Japan,8.9,0.3,10.2,4.2
1556,Hokuhoku Financial Group,Japan,2.5,0.2,128.7,2.6
1560,Hokkaido Electric Power,Japan,7.7,-0.9,19.6,1.7
1567,Yamaguchi Financial,Japan,1.8,0.2,110.2,2.5
1580,UNY Group Holdings,Japan,13.3,0.1,11.7,1.7
1581,Joyo Bank,Japan,1.9,0.2,97.1,4.2
1585,Nishi-Nippon City Bank,Japan,1.9,0.2,92.7,2.4
1588,77 Bank,Japan,1.4,0.1,92.2,2
1597,TDK,Japan,9.8,0,12.6,4.6
1598,Bank of Kyoto,Japan,1.4,0.2,89.4,3.5
1607,Sumitomo Rubber,Japan,8.2,0.4,8.5,4.3
1608,Kawasaki Kisen Kaisha,Japan,11.7,-0.5,12.3,2.2
1619,Hiroshima Bank,Japan,1.5,0.2,80.5,2.9
1620,Hachijuni Bank,Japan,2,0.2,80.2,2.9
1624,Gunma Bank,Japan,1.5,0.2,78.5,2.7
1624,Jtekt,Japan,12.7,0.2,11.4,3.3
1628,Chugoku Bank,Japan,1.4,0.2,76.7,3.2
1637,Iyo Bank,Japan,1.4,0.2,68.9,2.8
1642,Juroku Bank,Japan,1.4,0.1,66.6,1.5
1669,Senshu Ikeda Holdings,Japan,1.4,0,60.3,1.3
1672,Japan Securities,Japan,0.2,0,59.9,0.7
1676,Nanto Bank,Japan,1,0,58.2,1.3
1682,Daishi Bank,Japan,0.9,0.1,56.8,1.4
1689,Shiga Bank,Japan,1.1,0.1,54.9,1.6
1690,Hyakugo Bank,Japan,1,0.1,54.8,1.2
1695,Lawson,Japan,5.9,0.3,6.4,7.1
1699,Ogaki Kyoritsu Bank,Japan,1,0.1,52.7,1.3
1703,Orient,Japan,2.6,0,52,1.9
1705,Toho Bank,Japan,0.7,0.1,51.4,0.8
1711,San-In Godo Bank,Japan,1.1,0.1,50.1,1.4
1713,Higo Bank,Japan,0.9,0.1,49.9,1.4
1719,Hyakujushi Bank,Japan,0.9,0.1,48.7,1.2
1726,Hanwa,Japan,18.9,0.1,7.1,0.8
1730,Kiyo Holdings,Japan,1,0.1,46.6,1.2
1732,Musashino Bank,Japan,0.9,0.1,46.1,1.3
1734,Keiyo Bank,Japan,0.9,0.1,45.8,1.6
1746,Kagoshima Bank,Japan,0.9,0.1,43.3,1.4
1747,Meiji Holdings,Japan,13.4,0.1,9.1,3.3
1748,Terumo,Japan,4.7,0.3,8.3,8.3
1751,Renesas Electronics,Japan,10.7,-0.8,10.4,1.1
1756,Suruga Bank,Japan,1.2,0.2,42.2,3.8
1770,Hokkoku Bank,Japan,0.8,0.1,41.3,1.3
1777,Konica Minolta,Japan,9.3,0.2,10.5,4.2
1780,Taiheiyo Cement,Japan,8.8,0.1,11.7,2.9
1784,Credit Saison,Japan,4.3,0.1,25.3,4.6
1788,Nagoya Railroad,Japan,7.3,0.1,13.6,2.8
1790,Bank of Iwate,Japan,0.5,0.1,38.6,0.8
1792,Bank of Nagoya,Japan,0.8,0,38.5,0.9
1799,Shiseido,Japan,8.2,0.2,8.5,5.7
1799,J Front Retailing,Japan,11.6,0.2,9.4,3.8
1807,Takashimaya,Japan,10.6,0.1,9.8,3
1809,Hokuriku Electric Power,Japan,6,-0.1,16.4,2.4
1813,Furukawa Electric,Japan,11.1,-0.1,9.5,1.6
1816,Fuyo General Lease,Japan,5.1,0.2,20.3,1.2
1816,Toyo Seikan Kaisha,Japan,8.5,0,11.5,2.9
1825,Yamanashi Chuo Bank,Japan,0.6,0.1,35.1,0.8
1843,Awa Bank,Japan,0.8,0,34.1,1.4
1847,Oita Bank,Japan,0.7,0.1,33.7,0.6
1851,Aichi Bank,Japan,0.6,0,33.5,0.6
1856,Calsonic Kansei,Japan,9.4,0.3,4.1,1.2
1858,Jaccs,Japan,1.3,0.1,33.1,0.9
1874,Tomony Holdings,Japan,0.7,0.1,31.7,0.7
1875,Teijin,Japan,10.3,0.1,9.2,2.3
1875,Shikoku Bank,Japan,0.5,0,31.6,0.7
1878,Akita Bank,Japan,0.6,0,31.6,0.5
1883,Tokyo Tomin Bank,Japan,0.6,0,31.4,0.4
1885,Showa Denko,Japan,8.5,0.1,10.5,2.2
1888,Toho Holdings,Japan,13.4,0.1,6.5,1.5
1894,Seiko Epson,Japan,10.6,0.1,9,1.9
1897,Tochigi Bank,Japan,0.6,0,30.4,0.4
1901,Yokohama Rubber,Japan,6.5,0.4,6.2,3.3
1903,Nippon Steel Trading,Japan,13.1,0.1,4,0.4
1903,Eighteenth Bank,Japan,0.6,0,29.9,0.5
1907,Aomori Bank,Japan,0.5,0,29.8,0.7
1926,Fidea Holdings,Japan,0.6,0.1,28.3,0.4
1930,Hokuetsu Bank,Japan,0.6,0.1,28.1,0.6
1932,K's Holdings,Japan,8.8,0.3,4,1.5
1935,Chiba Kogyo Bank,Japan,0.5,0.1,27.8,0.5
1936,Ehime Bank,Japan,0.5,0,27.7,0.4
1937,Nippon Meat Packers,Japan,12.3,0.1,7,3.3
1954,Kanematsu,Japan,12.2,0.1,4.7,0.6
1956,Fukui Bank,Japan,0.5,0.1,27.1,0.5
1964,Yamagata Bank,Japan,0.5,0,26.6,0.8
1967,Tsukuba Bank,Japan,0.5,0,26.5,0.4
1967,Hakuhodo DY Holdings,Japan,11.8,0.1,6.2,3
1971,Yachiyo Bank,Japan,0.5,0.1,26.5,0.5
1975,Omron,Japan,7.5,0.2,6.1,5.5
1975,Fuji Electric,Japan,8.5,0.1,9.6,2.1
1977,Toyota Boshoku,Japan,11.6,0,7.1,2.6
1980,Miyazaki Bank,Japan,0.5,0.1,25.7,0.5
1994,Bank of Saga,Japan,0.5,0,25,0.4
1996,San-Ai Oil,Japan,0.5,0.1,25.7,0.5
1255,Arab Bank,Jordan,2.1,0.3,45.6,5.9
1064,KazMunaiGas Exploration,Kazakhstan,5.3,1.1,10.4,7.9
1640,Halyk Bank,Kazakhstan,1.6,0.5,16,2
692,National Bank of Kuwait,Kuwait,2.5,1.1,58.4,14.6
1054,Zain,Kuwait,4.6,0.9,10.4,10.8
1129,Kuwait Finance House,Kuwait,3.6,0.3,52.2,8.1
1982,Kuwait Projects,Kuwait,1.5,0.1,25.5,2
1514,Bank Audi,Lebanon,2,0.4,31.3,2.4
1662,Blom Bank,Lebanon,1.6,0.3,25,1.7
1228,Royal Carribean Cruises,Liberia,7.7,0,19.8,7.4
485,ArcelorMittal,Luxembourg,84.2,-3.7,114.6,23.1
515,Tenaris,Luxembourg,11.1,1.7,15.7,24.2
892,RTL Group,Luxembourg,7.7,0.8,10.4,11.5
928,Espirito Santo Financial,Luxembourg,8.7,0.4,114.5,1.4
1055,SES,Luxembourg,2.4,0.9,11.8,12.6
1405,Millicom International,Luxembourg,4.9,0.5,7.9,8.2
1843,Ternium,Luxembourg,8.6,0.1,10.9,4
332,Maybank,Malaysia,9.1,1.9,161.4,24.3
467,CIMB Group Holdings,Malaysia,6.3,1.4,110.2,16.8
516,Tenaga Nasional,Malaysia,11.5,1.3,28.3,12.6
542,Sime Darby,Malaysia,15,1.3,14.9,17.3
594,Public Bank,Malaysia,4.2,1.3,89.8,18
725,Genting,Malaysia,5.6,1.4,21.5,11.6
807,Axiata Group,Malaysia,5.8,0.8,14,17.2
941,Petronas Chemicals,Malaysia,5.4,1.2,8.3,16.3
973,RHB Capital,Malaysia,2,0.6,61.8,6.8
1125,AmBank Group,Malaysia,2.1,0.5,36.4,6.1
1260,Maxis,Malaysia,2.9,0.6,5.8,15.6
1261,YTL,Malaysia,6.4,0.4,16.3,5.6
1302,Hong Leong Financial,Malaysia,2.3,0.4,53.6,4.8
1317,IOI Group,Malaysia,4.9,0.6,7.2,9.6
1450,Petronas Gas,Malaysia,1.2,0.5,4.4,11.8
1496,Petronas Dagangan,Malaysia,9.6,0.3,3.2,7.4
1823,DRB-Hicom,Malaysia,2.2,0.4,12.9,1.5
1842,MISC,Malaysia,3.1,0.2,12.2,7.4
1858,Kuala Lumpur Kepong,Malaysia,3.3,0.4,3.7,6.9
1961,Telekom Malaysia,Malaysia,3.2,0.4,7.3,6.1
100,Am¨¦rica M¨®vil,Mexico,60.2,7.1,74.6,70.7
349,Femsa,Mexico,18.5,1.6,22.6,37.7
440,Grupo Mexico,Mexico,10.4,2.4,18.4,32.3
491,GFNorte,Mexico,7.7,0.8,70.6,18.5
712,ALFA,Mexico,15.6,0.7,11.8,12.7
769,Grupo Modelo,Mexico,7.2,1,9.6,29
778,Cemex,Mexico,15.3,-0.9,35.9,13.6
818,Grupo Inbursa,Mexico,3.6,0.7,26.2,18.5
918,Grupo Televisa,Mexico,5.4,0.7,12.6,14.9
925,Industrias Peoles,Mexico,7.4,0.8,6.4,17.4
1106,Grupo Bimbo,Mexico,13.5,0.2,10.1,13
1117,Grupo Carso,Mexico,6.4,0.6,5.9,11.3
1153,El Puerto de Liverpool,Mexico,5,0.5,6.6,15.5
1192,Fresnillo,Mexico,2.2,0.7,3.3,16.1
1455,Arca Continental,Mexico,4.4,0.4,4.9,12
1465,Grupo Elektra,Mexico,5.3,-1.5,12.8,9.5
1469,Mexichem,Mexico,4.9,0.4,7.6,10.8
1626,Soriana,Mexico,8,0.3,5.7,6.8
1773,Kimberly-Clark de Mexico,Mexico,2.3,0.3,2.2,9.6
1044,Attijariwafa Bank,Morocco,3.4,0.5,43.5,6.7
1871,Banque Centrale Populaire,Morocco,1.9,0.2,32,3.9
7,Royal Dutch Shell,The Netherlands,467.2,26.6,360.3,213.1
60,ING Group,The Netherlands,130,5.1,1533.7,31.9
103,Unilever,The Netherlands,67.7,5.9,59.9,122.3
119,Schlumberger,The Netherlands,42.3,5.5,61.5,105.5
135,EADS,The Netherlands,74.5,1.6,115.5,46
207,Aegon,The Netherlands,55.2,2,483.2,12.7
243,LyondellBasell Industries,The Netherlands,46.4,2.9,24.2,36.8
270,VimpelCom,The Netherlands,23.1,2.1,55.4,19
299,Heineken Holding,The Netherlands,24.3,1.9,46.7,18.6
428,Ahold,The Netherlands,43.3,1.1,19.4,15.7
544,Philips,The Netherlands,32.7,0.3,35.8,27.5
701,KPN,The Netherlands,16.4,0.9,27.2,5.5
743,ASML Holding,The Netherlands,6.2,1.5,9.7,28.9
784,Akzo Nobel,The Netherlands,20.3,-2.9,22.6,16.2
846,DSM,The Netherlands,12,0.4,15.3,11.4
1021,Delta Lloyd,The Netherlands,14.6,-2,105.5,3.3
1186,Nielsen Holdings,The Netherlands,5.6,0.3,14.6,12.9
1240,HAL Trust,The Netherlands,5.2,0.6,8.4,9
1280,Randstad Holding,The Netherlands,22.5,0,8.3,7.6
1539,PostNL,The Netherlands,5.7,0.9,6.1,1
1588,Wolters Kluwer,The Netherlands,4.8,0.4,8.5,6.6
1710,Vopak,The Netherlands,1.7,0.4,6.6,7.9
1832,Chicago Bridge & Iron,The Netherlands,5.6,0.3,4.3,6.1
1872,Gemalto,The Netherlands,2.9,0.3,3.6,8.1
1820,Telecom of New Zealand,New Zealand,3.5,0.9,2.9,3.4
1190,Dangote Cement,Nigeria,1.5,0.8,3.2,15.1
38,Statoil,Norway,126.8,12.4,140.2,78.1
219,DNB,Norway,14.4,2.5,406.8,26.5
326,Telenor,Norway,18.3,1.7,29.6,34.1
565,Yara International,Norway,15.1,1.9,14.4,13.2
1017,Norsk Hydro,Norway,11.7,-0.2,20.9,9
1059,Gjensidige Forsikring,Norway,4.1,0.8,16.8,8.4
1175,Storebrand,Norway,9,0.2,75.6,2
1516,Orkla,Norway,5.4,0.3,10.4,8.4
1531,Aker Solutions,Norway,8.1,0.4,7.1,5.1
1944,SpareBank 1 SR-Bank,Norway,1.2,0.2,25.4,2.4
1678,Bank Muscat,Oman,1.1,0.4,20.5,3.3
1311,Oil & Gas Development,Pakistan,1.8,1,3.6,8.7
338,Carnival,Panama,15.4,1.5,38.7,28.4
796,Credicorp,Peru,3.6,0.8,41,12.7
1601,Buenaventura,Peru,1.5,0.7,4.5,6.3
694,San Miguel,The Philippines,16.6,0.7,25.1,7
915,SM Investments,The Philippines,5.3,0.6,13.6,16.6
1060,PLDT,The Philippines,4,0.9,9.9,15.1
1142,BPI,The Philippines,1.4,0.4,23.9,9.1
1308,Manila Electric,The Philippines,6.8,0.4,5.3,9.2
1642,Aboitiz Equity Ventures,The Philippines,1.6,0.5,4.6,7.8
1666,Metropolitan Bank & Trust,The Philippines,1.5,0.3,21.7,6
1784,Ayala,The Philippines,2.5,0.3,11.9,8.2
580,PKO Bank Polski,Poland,5.7,1.2,62.3,13.8
651,PKN Orlen,Poland,38.8,0.8,16.9,7.4
681,PGE,Poland,9.4,1,18.8,10.5
766,Grupa PZU,Poland,6.3,1,18.1,11.3
785,KGHM Polska Miedz,Poland,8.7,1.6,10.7,10.7
786,Pgnig Group,Poland,8.8,0.7,15.5,11
1480,Tauron Group,Poland,7.6,0.5,10.1,2.5
1826,Grupa Lotos,Poland,10.2,0.3,6.5,1.8
376,EDP-Energias de Portugal,Portugal,21.6,1.3,55.2,11.5
645,Galp Energia,Portugal,24.4,0.5,18,13.1
940,Jeronimo Martins,Portugal,14,0.5,5.9,12.8
1201,Portugal Telecom,Portugal,8.5,0.3,26.5,4.7
1270,Banco Comercial Portugu¨ºs,Portugal,6.3,-1.6,116,2.8
1444,Banco BPI,Portugal,2.2,0.3,58.8,2
514,Qatar National Bank,Qatar,4,2.3,100.8,25.7
669,Ooredoo Telecom,Qatar,9.3,0.8,25.9,10
737,Industries Qatar,Qatar,5.1,2.3,11,26.5
1384,Commercial Bank of Qatar,Qatar,1.1,0.6,22,4.5
1527,Masraf Al Rayan,Qatar,0.7,0.4,16.9,5.1
1645,Qatar Islamic Bank,Qatar,0.9,0.3,20.1,4.6
1705,Ezdan Holding Group,Qatar,0.2,0.1,10.7,11.7
1865,Doha Bank,Qatar,0.8,0.4,15.2,2.8
17,Gazprom,Russia,144,40.6,339.3,111.4
59,Rosneft,Russia,68.8,11.2,126.3,73.2
61,Sberbank,Russia,36.1,10.8,441.1,73.3
64,Lukoil,Russia,116.3,11,99,55.4
159,TNK-BP Holding,Russia,43.3,7.6,43.3,33
187,Surgutneftegas,Russia,23.4,7.2,51.4,33.7
233,VTB Bank,Russia,16.1,2.8,210,18.9
385,Norilsk Nickel,Russia,12.8,3.3,18.8,32.9
484,Tatneft,Russia,13,2.1,19.5,14.8
547,Transneft,Russia,20.8,5.8,57.8,3.6
578,Novatek,Russia,6.9,2.3,15.1,31.3
647,Rostelecom,Russia,10.4,1.1,17.7,11.3
657,Inter Rao,Russia,18.3,1.2,16.6,7.2
696,MegaFon,Russia,8.8,1.2,11.5,17.6
706,RusHydro,Russia,11.3,1,25.3,6.9
713,Novolipetsk Steel,Russia,12.2,0.6,18.5,10.7
725,Severstal,Russia,14.1,0.8,15.7,8.7
759,Magnit,Russia,14.4,0.8,5.5,18.8
790,Sistema,Russia,30,0.2,43.7,8.1
797,IDGC Holding,Russia,19.7,0.7,27.3,2.6
821,Federal Grid of UES,Russia,4.3,1.5,36.2,7.2
884,Uralkali,Russia,3.2,1.1,12.7,22.8
978,Mechel,Russia,11.4,0.7,19.3,2.2
1022,UC Rusal,Russia,11,-0.1,25.5,8.1
1168,Alrosa,Russia,4.7,0.9,10,7.7
1475,Nomos Bank,Russia,2.7,0.4,29.4,2.6
1509,X5 Retail Group,Russia,15.8,-0.1,9.6,5
1596,Magnitogorsk Iron & Steel,Russia,8.5,-0.1,16.2,3.3
1761,PhosAgro,Russia,3.1,0.6,3.4,5.5
1974,Aeroflot-Russian Airlines,Russia,4.9,0.5,5.2,1.9
94,Saudi Basic Industries,Saudi Arabia,50.4,6.6,90.2,74.8
359,Saudi Telecom,Saudi Arabia,15.8,1.9,31.3,21.7
529,Saudi Electricity,Saudi Arabia,9,0.7,63.6,15.3
539,Al Rajhi Bank,Saudi Arabia,4,2.1,71.3,26
747,Samba Financial Group,Saudi Arabia,2,1.2,53.1,10.8
792,Mobily,Saudi Arabia,6.3,1.6,10.3,16.3
813,Riyad Bank,Saudi Arabia,2.1,0.9,50.7,9.1
854,Saudi British Bank,Saudi Arabia,1.6,0.9,41.8,8.9
926,Banque Saudi Fransi,Saudi Arabia,1.6,0.8,42.1,7.4
1065,Arab National Bank,Saudi Arabia,1.5,0.6,36.4,6.2
1145,Saudi Arabian Fertilizers,Saudi Arabia,1.3,1,2.7,13.8
1448,Petro Rabigh,Saudi Arabia,16.5,0.1,12.7,4
1461,Tasnee,Saudi Arabia,4.8,0.5,12.2,5.3
1494,Kingdom Holding,Saudi Arabia,0.8,0.2,11.2,19
1546,Saudi Arabian Mining,Saudi Arabia,1.5,0.3,14.7,8.1
1793,Saudi Hollandi Bank,Saudi Arabia,0.7,0.3,18.3,3
1858,Almarai,Saudi Arabia,2.6,0.4,5.2,7.1
274,DBS Group,Singapore,8.8,3.1,288.9,30.7
295,Singtel,Singapore,15,3.2,31.4,45.7
298,Oversea-Chinese Banking,Singapore,8.3,3.3,242.2,29
313,Wilmar International,Singapore,46.3,1.3,41.7,17
345,United Overseas Bank,Singapore,7.2,2.3,207,25.1
469,Keppel Corp,Singapore,11.4,1.8,23.9,17
857,CapitaLand,Singapore,2.7,0.8,30.9,11.6
972,Singapore Airlines,Singapore,11.8,0.3,17.5,10
1035,SembCorp Industries,Singapore,8.3,0.6,10.5,7.4
1091,Flextronics International,Singapore,24.7,0.4,11.2,4.5
1185,Global Logistic Properties,Singapore,0.6,0.5,13.6,9.8
1284,Golden Agri-Resources,Singapore,6.1,0.4,13.3,6.1
1300,City Developments,Singapore,2.7,0.6,12.8,7.8
1325,ST Engineering,Singapore,5.2,0.5,6.5,10.4
1448,Olam International,Singapore,13.5,0.3,10.9,3.1
1483,Avago Technologies,Singapore,2.4,0.6,2.9,8.8
1495,Hutchinson Port Holdings,Singapore,1.6,0.3,17.4,7.3
1821,China Aviation Oil,Singapore,14.8,0.1,1.6,0.6
1889,CapitaMall Trust,Singapore,0.5,0.4,8.1,5.8
1996,UOL Group,Singapore,0.9,0.7,7.8,4.2
231,Standard Bank Group,South Africa,21,1.9,182,19.9
320,Sasol,South Africa,20.8,2.9,24.7,29.4
345,MTN Group,South Africa,16.5,2.5,21.4,34.5
397,FirstRand,South Africa,8.4,1.6,94.1,18
574,Sanlam,South Africa,10.8,0.7,52.3,10.7
936,AngloGold Ashanti,South Africa,6.1,0.8,12.6,9.5
966,Steinhoff International,South Africa,9.9,0.7,16.2,5
987,Bidvest Group,South Africa,16.4,0.5,6.8,8.1
1053,Naspers,South Africa,5.1,0.4,10.5,27.7
1151,Shoprite Holdings,South Africa,10.1,0.4,3.7,10.2
1239,Remgro,South Africa,1.7,1.1,7.1,9.9
1356,MMI Holdings,South Africa,6.2,0.3,36.8,4
1429,Exxaro Resources,South Africa,1.5,1.2,4.9,6.4
1431,Impala Platinum Holdings,South Africa,3.4,0.5,8.9,9.3
1435,Gold Fields,South Africa,3.4,0.7,11.2,5.9
1658,Imperial Holdings,South Africa,9.9,0.4,5.5,4.2
1711,Aspen Pharmacare Holdings,South Africa,1.9,0.4,3.8,9.7
1716,RMB Holdings,South Africa,0.6,0.6,3.3,6.1
1948,Assore,South Africa,1.6,0.5,2.1,5.2
20,Samsung Electronics,South Korea,187.8,21.7,196.3,174.4
89,Hyundai Motor,South Korea,75,7.6,114.3,41.5
184,Posco,South Korea,56.5,2.2,74.5,22.9
251,Shinhan Financial Group,South Korea,16.3,2.1,277.5,17.2
268,Kia Motors,South Korea,42,3.4,30.5,19.8
278,Hyundai Mobis,South Korea,28.9,3.3,28.1,26.4
327,KB Financial Group,South Korea,15.6,1.5,265.1,13.2
330,Samsung Life Insurance,South Korea,19.1,0.8,142.2,17.7
366,SK Innovation,South Korea,65.1,1.1,31.8,13.7
379,Hyundai Heavy Industries,South Korea,48.8,0.9,46.3,11.6
383,Woori Finance Holdings,South Korea,15.2,1.4,306.2,9
405,SK Holdings,South Korea,106.3,0.9,85.2,7
431,Hana Financial Group,South Korea,12.5,1.5,263.9,8.5
470,Lotte Shopping,South Korea,22.2,1,34.6,10.3
482,LG Chem,South Korea,21.9,1.4,15.4,16.2
548,Korea Electric Power,South Korea,43.9,-2.8,129.3,17.4
550,KT Corp,South Korea,21.1,0.9,32.4,8.1
555,SK Telecom,South Korea,14.5,1,24.1,11.5
593,Industrial Bank of Korea,South Korea,9.3,1,185.9,6.4
612,Samsung Fire & Marine,South Korea,14.7,0.7,34.5,8.2
695,Samsung C&T,South Korea,23.8,0.4,24.2,8.5
730,LG Electronics,South Korea,45.3,0.1,29.6,11.6
762,S-Oil,South Korea,30.8,0.5,11.7,9.4
773,Hyundai Steel,South Korea,13.3,0.7,21.4,6.3
781,LG Corp,South Korea,8.7,0.8,15.1,10.2
795,Samsung Heavy Industries,South Korea,12.9,0.7,15.6,7.5
824,LG Display,South Korea,26.1,0.2,23,10.4
828,Hanwha Life Insurance,South Korea,9.4,0.5,61,5.3
858,Korea Gas,South Korea,31.1,0.3,34.3,4.7
951,SK Hynix,South Korea,9.6,-0.1,17.1,18
1026,Hyundai Engineering,South Korea,11.8,0.5,12,6.4
1197,Samsung SDI,South Korea,5.1,1.3,10.2,5.5
1203,GS Holdings,South Korea,8.7,0.4,12,5.4
1219,E-mart,South Korea,11.3,0.4,11.5,5.4
1234,Hyundai Glovis,South Korea,10.4,0.4,4,6.7
1276,Lotte Chemical,South Korea,14.1,0.3,9.8,6.5
1278,CJ Corp,South Korea,15.7,0.2,20.1,3.6
1352,DSME,South Korea,12.5,0.2,15.2,5
1354,Hyundai Marine & Fire,South Korea,8.1,0.4,16,2.3
1373,Korean Air,South Korea,11.3,0.2,21.6,2.6
1374,Dongbu Insurance,South Korea,8.2,0.3,15.6,2.5
1376,Samsung Engineering,South Korea,10.8,0.5,5.3,4.7
1442,KT&G,South Korea,3.7,0.7,6.3,8.4
1444,Hanwha Corp,South Korea,10.2,0.3,14.9,2.1
1471,Samsung Electro-Mechanic,South Korea,7,0.4,6.5,6.4
1477,NHN,South Korea,2.1,0.5,2.8,10.4
1479,Daelim Industrial,South Korea,9.6,0.4,10.2,2.8
1491,SK Networks,South Korea,24.8,0,10,1.7
